,date,pm25,AQI,Levels of Concern
826,2018-01-02,24.0,76.0,Moderate
827,2018-01-03,9.0,37.5,Good
828,2018-01-04,14.0,55.0,Moderate
829,2018-01-05,24.0,76.0,Moderate
830,2018-01-06,15.0,57.1,Moderate
831,2018-01-07,14.0,55.0,Moderate
832,2018-01-08,17.0,61.3,Moderate
833,2018-01-09,24.0,76.0,Moderate
834,2018-01-10,16.0,59.2,Moderate
835,2018-01-11,38.0,107.2,Unhealthy for Sensitive Groups
836,2018-01-12,15.0,57.1,Moderate
837,2018-01-13,18.0,63.4,Moderate
838,2018-01-14,25.0,78.1,Moderate
839,2018-01-15,27.0,82.3,Moderate
840,2018-01-16,45.0,124.4,Unhealthy for Sensitive Groups
841,2018-01-17,50.0,136.7,Unhealthy for Sensitive Groups
842,2018-01-18,39.0,109.6,Unhealthy for Sensitive Groups
843,2018-01-19,58.0,152.3,Unhealthy
844,2018-01-20,45.0,124.4,Unhealthy for Sensitive Groups
845,2018-01-21,38.0,107.2,Unhealthy for Sensitive Groups
846,2018-01-22,58.0,152.3,Unhealthy
847,2018-01-23,37.0,104.7,Unhealthy for Sensitive Groups
848,2018-01-24,32.0,92.8,Moderate
849,2018-01-25,32.0,92.8,Moderate
850,2018-01-26,13.0,52.9,Moderate
851,2018-01-27,23.0,73.9,Moderate
852,2018-01-28,18.0,63.4,Moderate
853,2018-01-29,17.0,61.3,Moderate
854,2018-01-30,21.0,69.7,Moderate
855,2018-01-31,18.0,63.4,Moderate
856,2018-02-01,16.0,59.2,Moderate
857,2018-02-02,14.0,55.0,Moderate
858,2018-02-03,21.0,69.7,Moderate
859,2018-02-04,22.0,71.8,Moderate
860,2018-02-05,25.0,78.1,Moderate
861,2018-02-06,21.0,69.7,Moderate
862,2018-02-07,25.0,78.1,Moderate
863,2018-02-08,31.0,90.7,Moderate
864,2018-02-09,40.0,112.1,Unhealthy for Sensitive Groups
865,2018-02-10,22.0,71.8,Moderate
866,2018-02-11,36.0,102.2,Unhealthy for Sensitive Groups
867,2018-02-12,25.0,78.1,Moderate
868,2018-02-13,50.0,136.7,Unhealthy for Sensitive Groups
869,2018-02-14,9.0,37.5,Good
870,2018-02-15,15.0,57.1,Moderate
871,2018-02-16,33.0,95.0,Moderate
872,2018-02-17,45.0,124.4,Unhealthy for Sensitive Groups
873,2018-02-18,50.0,136.7,Unhealthy for Sensitive Groups
874,2018-02-19,50.0,136.7,Unhealthy for Sensitive Groups
875,2018-02-20,48.0,131.8,Unhealthy for Sensitive Groups
876,2018-02-21,45.0,124.4,Unhealthy for Sensitive Groups
877,2018-02-22,35.0,99.2,Moderate
878,2018-02-23,38.0,107.2,Unhealthy for Sensitive Groups
879,2018-02-24,37.0,104.7,Unhealthy for Sensitive Groups
880,2018-02-25,25.0,78.1,Moderate
881,2018-02-26,23.0,73.9,Moderate
882,2018-02-27,16.0,59.2,Moderate
883,2018-02-28,18.0,63.4,Moderate
884,2018-03-01,20.0,67.6,Moderate
885,2018-03-02,24.0,76.0,Moderate
886,2018-03-03,20.0,67.6,Moderate
887,2018-03-04,24.0,76.0,Moderate
888,2018-03-05,32.0,92.8,Moderate
889,2018-03-06,34.0,97.1,Moderate
890,2018-03-07,49.0,134.2,Unhealthy for Sensitive Groups
891,2018-03-08,55.0,149.0,Unhealthy for Sensitive Groups
892,2018-03-09,51.0,139.2,Unhealthy for Sensitive Groups
893,2018-03-10,62.0,154.4,Unhealthy
894,2018-03-11,63.0,154.9,Unhealthy
895,2018-03-12,50.0,136.7,Unhealthy for Sensitive Groups
896,2018-03-13,53.0,144.1,Unhealthy for Sensitive Groups
897,2018-03-14,57.0,151.8,Unhealthy
898,2018-03-15,27.0,82.3,Moderate
899,2018-03-16,36.0,102.2,Unhealthy for Sensitive Groups
900,2018-03-17,44.0,121.9,Unhealthy for Sensitive Groups
901,2018-03-18,53.0,144.1,Unhealthy for Sensitive Groups
902,2018-03-19,54.0,146.6,Unhealthy for Sensitive Groups
903,2018-03-20,43.0,119.5,Unhealthy for Sensitive Groups
904,2018-03-21,32.0,92.8,Moderate
905,2018-03-22,52.0,141.6,Unhealthy for Sensitive Groups
906,2018-03-23,28.0,84.4,Moderate
907,2018-03-24,36.0,102.2,Unhealthy for Sensitive Groups
908,2018-03-25,30.0,88.6,Moderate
909,2018-03-26,40.0,112.1,Unhealthy for Sensitive Groups
910,2018-03-27,28.0,84.4,Moderate
911,2018-03-28,43.0,119.5,Unhealthy for Sensitive Groups
912,2018-03-29,62.0,154.4,Unhealthy
913,2018-03-30,48.0,131.8,Unhealthy for Sensitive Groups
914,2018-03-31,32.0,92.8,Moderate
915,2018-04-01,35.0,99.2,Moderate
738,2018-04-02,41.0,114.5,Unhealthy for Sensitive Groups
739,2018-04-03,40.0,112.1,Unhealthy for Sensitive Groups
