,date,pm25,AQI,Levels of Concern
178,2020-01-02,17.0,61.3,Moderate
179,2020-01-03,38.0,107.2,Unhealthy for Sensitive Groups
180,2020-01-04,20.0,67.6,Moderate
181,2020-01-05,13.0,52.9,Moderate
182,2020-01-06,14.0,55.0,Moderate
183,2020-01-07,12.0,50.0,Good
184,2020-01-08,22.0,71.8,Moderate
185,2020-01-09,22.0,71.8,Moderate
186,2020-01-10,33.0,95.0,Moderate
187,2020-01-11,40.0,112.1,Unhealthy for Sensitive Groups
188,2020-01-12,28.0,84.4,Moderate
189,2020-01-13,10.0,41.7,Good
190,2020-01-14,21.0,69.7,Moderate
191,2020-01-15,29.0,86.5,Moderate
192,2020-01-16,14.0,55.0,Moderate
193,2020-01-17,25.0,78.1,Moderate
194,2020-01-18,42.0,117.0,Unhealthy for Sensitive Groups
195,2020-01-19,47.0,129.3,Unhealthy for Sensitive Groups
196,2020-01-20,12.0,50.0,Good
197,2020-01-21,16.0,59.2,Moderate
198,2020-01-22,17.0,61.3,Moderate
199,2020-01-23,18.0,63.4,Moderate
200,2020-01-24,24.0,76.0,Moderate
201,2020-01-25,12.0,50.0,Good
202,2020-01-26,21.0,69.7,Moderate
203,2020-01-27,13.0,52.9,Moderate
204,2020-01-28,39.0,109.6,Unhealthy for Sensitive Groups
205,2020-01-29,39.0,109.6,Unhealthy for Sensitive Groups
206,2020-01-30,20.0,67.6,Moderate
207,2020-01-31,24.0,76.0,Moderate
208,2020-02-01,17.0,61.3,Moderate
149,2020-02-02,13.0,52.9,Moderate
150,2020-02-03,7.0,29.2,Good
151,2020-02-04,18.0,63.4,Moderate
152,2020-02-05,30.0,88.6,Moderate
153,2020-02-06,11.0,45.8,Good
154,2020-02-07,22.0,71.8,Moderate
155,2020-02-08,26.0,80.2,Moderate
156,2020-02-09,17.0,61.3,Moderate
157,2020-02-10,40.0,112.1,Unhealthy for Sensitive Groups
158,2020-02-11,15.0,57.1,Moderate
159,2020-02-12,22.0,71.8,Moderate
160,2020-02-13,17.0,61.3,Moderate
161,2020-02-14,16.0,59.2,Moderate
162,2020-02-15,29.0,86.5,Moderate
163,2020-02-16,24.0,76.0,Moderate
164,2020-02-17,19.0,65.5,Moderate
165,2020-02-18,15.0,57.1,Moderate
166,2020-02-19,20.0,67.6,Moderate
167,2020-02-20,20.0,67.6,Moderate
168,2020-02-21,17.0,61.3,Moderate
169,2020-02-22,23.0,73.9,Moderate
170,2020-02-23,8.0,33.3,Good
